category_id;answers;languages_id
1;We offer a wide range of products across various categories.;1
1;Our assortment is updated weekly.;1
1;New arrivals appear approximately 2–3 times a week.;1
1;Yes, we regularly run promotions and offer discounts.;1
1;"You can find new arrivals in the ""New In"" section or by subscribing to our newsletter.";1
1;Yes, you can place an order without registration.;1
1;No, registration is not required, but it provides additional bonuses.;1
1;"You can update your information in the ""Profile"" section of your account.";1
1;Yes, you can place an order by phone.;1
1;Yes, we have a mobile app for iOS and Android.;1
1;Yes, we can reserve an item for a limited time.;1
1;Availability is shown on the product page.;1
1;You can select size and color in the product options before ordering.;1
1;Yes, all products come with a warranty depending on the manufacturer.;1
1;Our catalog includes both global and local brands.;1
1;Yes, you can place an order as a gift.;1
1;Yes, we offer gift wrapping services.;1
1;Yes, we offer a loyalty program with bonuses.;1
1;Bonuses are awarded for purchases and participation in promotions.;1
1;Bonuses can be used during sales unless otherwise stated.;1
1;Yes, you can cancel your order before it is shipped.;1
1;Contact support to make changes to your order.;1
1;Yes, if both orders have not yet been shipped.;1
1;Yes, instructions and recommendations are included.;1
1;Yes, you can pre-order an out-of-stock item.;1
1;Yes, we offer in-person viewing in our showroom.;1
1;Yes, we work with wholesale clients.;1
1;You can get a consultation via chat or phone.;1
1;Exchanges without a receipt are possible only if tags and packaging are intact.;1
1;Yes, we have social media pages with current information.;1
2;We offer delivery by courier, mail, and to pickup points.;1
2;Yes, courier delivery is available.;1
2;Delivery cost depends on region and order weight.;1
2;Free delivery is available under certain promotional conditions.;1
2;Free delivery for orders over 3000 RUB.;1
2;Delivery method is selected during checkout.;1
2;We deliver nationwide.;1
2;Yes, international delivery is available.;1
2;Delivery time depends on region and chosen method.;1
2;Yes, you can choose a convenient date and time.;1
2;Express delivery is available for an additional fee.;1
2;You can track your order using the tracking number in your account.;1
2;Contact support to clarify any delivery delays.;1
2;Yes, you can change the address before the order is handed over to the courier.;1
2;Yes, delivery to pickup points is available.;1
2;We work with several shipping companies.;1
2;Yes, weekend delivery is available.;1
2;A repeat order is possible if the item is lost at the pickup point.;1
2;Yes, delivery to a post office is possible.;1
2;Yes, cash on delivery is available.;1
2;Yes, self-pickup is available.;1
2;The pickup point address is listed on the website.;1
2;Yes, we operate on holidays.;1
2;Contact support to reschedule delivery time.;1
2;Yes, inspection is possible upon receipt.;1
2;Returns can be arranged via the delivery service.;1
2;Yes, we can take a photo of the package before shipping.;1
2;Yes, we deliver large-sized orders.;1
2;Yes, express delivery service is available.;1
2;Yes, multiple orders can be combined into one shipment.;1
3;We accept payment by cards, bank transfers, and electronic systems.;1
3;Yes, we accept Visa and MasterCard.;1
3;Yes, we accept PayPal.;1
3;Yes, Apple Pay and Google Pay are available.;1
3;Yes, payment upon delivery is possible.;1
3;Fees depend on your bank or payment system.;1
3;Yes, bank transfer is available for legal entities.;1
3;Bank transfer payment is possible via provided details.;1
3;Yes, we offer installment plans.;1
3;Yes, we partner with banks for credit options.;1
3;Yes, partial payment with bonuses is possible.;1
3;A receipt is sent to your email after payment.;1
3;Contact your bank or support if payment fails.;1
3;Yes, payment method can be changed before shipping.;1
3;Yes, you can pay on behalf of another person.;1
3;Yes, we accept certain cryptocurrencies.;1
3;Yes, payment via terminal is possible.;1
3;Yes, we accept gift cards.;1
3;Enter your promo code in the designated field during checkout.;1
3;Confirmation usually takes a few minutes.;1
3;Yes, we refund money for canceled orders.;1
3;Refund time depends on the bank (1–7 days).;1
3;Refunds are issued to the same card.;1
3;Contact support to resolve any issues.;1
3;Yes, partial payment is available.;1
3;Yes, we accept foreign currency.;1
3;Yes, reservation without full prepayment is possible.;1
3;Payment status can be checked in your account.;1
3;Yes, we use secure payment services.;1
3;You can request an invoice from a manager.;1
4;You can contact us by phone, email, or chat.;1
4;Yes, we have a customer support hotline.;1
4;Support is available from 9:00 to 21:00.;1
4;Yes, there is an online chat on the website.;1
